Timestamp,Do you use the standard library’s lock types (Mutex or RwLock) in any of your projects?,Do you use locks from outside the standard library (such as from antidote or parking_lot) in any of your projects?,Which of these is closest to how you acquire locks? (Select all that apply),Have you ever thought carefully about lock poisoning in your projects?,"If so, what do you want to happen when a lock is poisoned? (Select all that apply)",Do you think you’ve benefited from the standard library’s lock types providing poisoning by default?,Do you use the standard library’s lock types or their guards in the public API of any of your projects?,"If so, what’s an example of how the standard library’s lock or guard types appear in the public API of any of your projects? (Please keep accidental information leakage in mind here and consider replacing names with placeholders)",How much friction do you think would be involved in migrating any of your projects from the standard library’s poisoning lock types to a non-poisoning lock crate like antidote or parking_lot? (That would mean replacing .lock().unwrap() with .lock()),Why do you use locks from outside the standard library? (Select all that apply),Do you implement poisoning some other way?,"If so, what do you want to happen when data is poisoned? (Select all that apply)",Would you use a poisoning implementation from the standard library if it was independent of Mutex or RwLock?
2020/12/12 6:21:21 AM GMT+11,Yes,No,.lock().unwrap(),No,I never want to access the data again,No,No,,None,,,,
2020/12/12 6:22:17 AM GMT+11,No,Yes,.lock().unwrap(),No,I want my program to terminate,No,No,,None,To avoid having to write .lock.unwrap();For performance,No,I want my program to terminate,Yes
2020/12/12 6:22:32 AM GMT+11,Yes,Yes,.lock()?,Yes,I want my program to terminate;I want to check and fix the data,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance;For async/await,No,,No
2020/12/12 6:24:00 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,No,No,,None,To avoid having to write .lock.unwrap();For performance;For async/await,No,,No
2020/12/12 6:24:35 AM GMT+11,Yes,No,.lock()?,Yes,I want my program to terminate;I never want to access the data again,No,No,,A manageable amount,,,,
2020/12/12 6:26:27 AM GMT+11,Yes,No,.lock().unwrap(),No,I want to access the data again,Yes,Yes,We use it for the interface of multiple libs that all need to concurrently access the same USB device.,None,For no-std,No,I want to access the data again,Yes
2020/12/12 6:28:26 AM GMT+11,Yes,No,.lock().unwrap(),No,,No,No,,A manageable amount,,,,
2020/12/12 6:29:11 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,No,No,,None,For performance;For async/await,No,,No
2020/12/12 6:29:30 AM GMT+11,No,Yes,.lock().unwrap(),No,,No,No,,None,To avoid having to write .lock.unwrap();For async/await,No,I never want to access the data again,Yes
2020/12/12 6:30:01 AM GMT+11,Yes,Yes,.lock()?,Yes,I never want my program to terminate;I want to access the data again;I want to check and fix the data,No,No,,None,For performance;For no-std,No,,Yes
2020/12/12 6:30:11 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate,Yes,No,,A manageable amount,,,,
2020/12/12 6:34:08 AM GMT+11,Yes,No,.lock().unwrap(),No,I never want my program to terminate;I want to check and fix the data,No,Yes,,None,,No,,No
2020/12/12 6:35:19 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,Yes,I want to check and fix the data;I never want to access the data again,Yes,No,,A manageable amount,For performance;For no-std,Yes,I want my program to terminate,Yes
2020/12/12 6:35:42 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,"I want my program to terminate;I want to access the data again;I never want to access the data again;In cases where there's *real* danger involved, especially where we're talking about potential soundness invariants, I strongly prefer requiring panic=abort",Yes,No,,A manageable amount,"For async/await;Often I want to use slightly-less-primitive sync primitives, like crossbeam::Parker",Yes,"I never want to access the data again;Often I will mem::take the data out of the object when locked, leaving behind a dead state, and restore it afterwards. This way, a panic will result in future reads seeing the ""dead"" state, triggering another panic",Yes
2020/12/12 6:37:03 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate,No,No,,A manageable amount,,,,Yes
2020/12/12 6:37:46 AM GMT+11,Yes,Yes,.lock().unwrap(),,,No,No,,None,To avoid having to write .lock.unwrap();For performance,No,,No
2020/12/12 6:38:59 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,"Usually, I want the thread to panic, but I also want the option to access the data in special cases",Yes,No,,A manageable amount,For async/await,No,,Yes
2020/12/12 6:40:10 AM GMT+11,Yes,No,.lock()?,Yes,I never want to access the data again,Yes,No,,A manageable amount,For performance;For async/await,No,I never want to access the data again,Yes
2020/12/12 6:42:09 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,Yes,I want my program to terminate,Yes,No,,None,For async/await,No,,Yes
2020/12/12 6:43:19 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate,No,No,,None,For performance;For async/await,No,I want my program to terminate,No
2020/12/12 6:48:49 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate;I want to check and fix the data,Yes,Yes,,A manageable amount,,No,,Yes
2020/12/12 6:49:46 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,No,No,,None,For performance;For no-std;For async/await,No,I want my program to terminate,No
2020/12/12 6:52:23 AM GMT+11,Yes,Yes,.lock()?,Yes,I want my program to terminate,No,No,,A manageable amount,For async/await,No,,No
2020/12/12 6:52:23 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate;I never want to access the data again,Yes,No,,A manageable amount,,,,
2020/12/12 6:52:27 AM GMT+11,No,Yes,.lock().unwrap();.lock()?,No,,No,No,,None,To avoid having to write .lock.unwrap();For performance,No,I want my program to terminate,Yes
2020/12/12 6:52:47 AM GMT+11,Yes,Yes,.lock()?;.lock().unwrap_or_else(PoisonGuard::into_inner),Yes,I want my program to terminate;I want to access the data again;I want to check and fix the data,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance;For no-std,No,I want my program to terminate;I want to access the data again;I want to check and fix the data,No
2020/12/12 6:54:15 AM GMT+11,Yes,Yes,.lock()?,Yes,I want my program to terminate;I want to check and fix the data,No,No,,None,For performance;For async/await,No,I want my program to terminate;I want to check and fix the data,No
2020/12/12 6:55:18 AM GMT+11,Yes,Yes,.lock().unwrap(),No,"panic on lock, None on try_lock",No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance;For no-std;For async/await,No,"panic on lock, None on try_lock",Yes
2020/12/12 7:00:03 AM GMT+11,Yes,Yes,.lock().unwrap();.lock().unwrap_or_else(PoisonGuard::into_inner),Yes,I never want my program to terminate;I want to access the data again,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance,No,,No
2020/12/12 7:00:44 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,,No,No,,,To avoid having to write .lock.unwrap();For performance;For async/await,No,,No
2020/12/12 7:01:56 AM GMT+11,Yes,No,.lock().unwrap(),No,,No,No,,None,For async/await,No,I never want my program to terminate;I want to access the data again,No
2020/12/12 7:02:09 AM GMT+11,No,Yes,,No,I want my program to terminate,No,No,,None,To avoid having to write .lock.unwrap();For performance,No,,No
2020/12/12 7:02:32 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate;I never want to access the data again,Yes,No,,A manageable amount,For performance,No,,Yes
2020/12/12 7:03:05 AM GMT+11,Yes,No,.lock().unwrap();.lock()?;if let Ok(thing) = thing.lock(),No,I never want my program to terminate;I want to access the data again;I want to check and fix the data,No,No,,A manageable amount,,,,
2020/12/12 7:03:27 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,No,No,,None,For performance,No,,Yes
2020/12/12 7:04:04 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate,Yes,No,,A manageable amount,For async/await,No,,Yes
2020/12/12 7:04:22 AM GMT+11,Yes,No,.lock().unwrap(),No,,Yes,No,,A manageable amount,,,,
2020/12/12 7:04:47 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate,No,No,,None,,,,
2020/12/12 7:06:21 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate,Yes,No,,None,,,,
2020/12/12 7:06:46 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I never want my program to terminate;I want to access the data again;I want to check and fix the data,No,No,,A manageable amount,For performance;For async/await,No,I want to access the data again;I want to check and fix the data,Yes
2020/12/12 7:11:01 AM GMT+11,Yes,Yes,.lock()?,No,I want my program to terminate,No,No,,None,For performance;For async/await,No,I want my program to terminate,No
2020/12/12 7:12:43 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate,No,No,,None,For no-std,No,I want my program to terminate,Yes
2020/12/12 7:12:50 AM GMT+11,No,Yes,.lock(),No,I never want my program to terminate;I want to check and fix the data,No,No,,None,For performance;For async/await,No,,No
2020/12/12 7:14:08 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate;I never want to access the data again,No,No,,A manageable amount,A dependent library is using them,No,,No
2020/12/12 7:14:47 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate,Yes,No,,A manageable amount,,,,
2020/12/12 7:18:38 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate;I never want my program to terminate;I want to access the data again,No,No,,None,For performance;For no-std;For async/await,Yes,I never want my program to terminate,No
2020/12/12 7:18:47 AM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance;For async/await,No,,No
2020/12/12 7:18:51 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I never want to access the data again,Yes,No,,A manageable amount,For performance;For async/await,,,No
2020/12/12 7:20:44 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want to check and fix the data,No,No,,A manageable amount,For async/await,No,,Yes
2020/12/12 7:22:33 AM GMT+11,No,No,,,,,,,,,,,
2020/12/12 7:22:48 AM GMT+11,Yes,No,.lock().unwrap(),No,I never want to access the data again,No,No,,None,For performance,No,,No
2020/12/12 7:23:21 AM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,No,,None,For performance;For async/await,No,,No
2020/12/12 7:25:18 AM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,Yes,,A manageable amount,To avoid having to write .lock.unwrap();For performance;For async/await,No,I never want my program to terminate,No
2020/12/12 7:26:42 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate;I never want to access the data again,No,No,,None,To avoid having to write .lock.unwrap();For performance;For async/await,No,I want my program to terminate;I never want to access the data again,No
2020/12/12 7:27:24 AM GMT+11,No,Yes,,,,,,,,To avoid having to write .lock.unwrap();For performance,No,,Yes
2020/12/12 7:27:28 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I never want my program to terminate,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance;For async/await,No,I never want my program to terminate,No
2020/12/12 7:29:45 AM GMT+11,No,Yes,.lock().unwrap(),No,I want my program to terminate,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance,No,,No
2020/12/12 7:31:13 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate;I never want to access the data again,No,No,,A manageable amount,For async/await,No,,Yes
2020/12/12 7:31:56 AM GMT+11,Yes,No,.lock().unwrap(),No,,No,No,,A manageable amount,,,,No
2020/12/12 7:32:10 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I never want my program to terminate,No,No,,None,To avoid having to write .lock.unwrap();For performance;For async/await,No,,No
2020/12/12 7:32:33 AM GMT+11,Yes,No,.lock().unwrap(),No,,Yes,No,,A manageable amount,For async/await,No,,No
2020/12/12 7:33:31 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,"Propigate if the interior is `RefUnwindSafe`, do nothing if the interior is `RefUnwindSafe`",Yes,No,,A manageable amount,For performance;For no-std,Yes,"Propigate if the interior is `RefUnwindSafe`, do nothing if the interior is `RefUnwindSafe`",No
2020/12/12 7:34:54 AM GMT+11,Yes,Yes,.lock()?,No,,No,No,,A manageable amount,For async/await,No,,
2020/12/12 7:36:25 AM GMT+11,No,No,,,,,,,,,,,
2020/12/12 7:37:58 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,,No,No,,None,For performance,No,,No
2020/12/12 7:39:07 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate;I never want to access the data again,No,No,,None,,,,
2020/12/12 7:40:12 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I never want to access the data again,Yes,No,,A manageable amount,For performance;Additional features,No,If I'm using non-poisoning locks it's because the code within the critical section cannot panic.,Yes
2020/12/12 7:41:01 AM GMT+11,No,Yes,.lock().unwrap();.lock()?,No,I want to check and fix the data,No,No,,None,For performance;For async/await,No,,No
2020/12/12 7:43:00 AM GMT+11,Yes,No,.lock().unwrap_or_else(PoisonGuard::into_inner),Yes,I want to access the data again,No,No,,None,,No,I'd like to at least be able to check and unpoison the lock.,No
2020/12/12 7:47:12 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance;For async/await,No,I want my program to terminate,No
2020/12/12 7:47:25 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate,Yes,No,,None,To avoid having to write .lock.unwrap();For performance,Yes,I want my program to terminate,Yes
2020/12/12 7:47:50 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want to access the data again,No,No,,None,For async/await,No,I want to access the data again,No
2020/12/12 7:48:59 AM GMT+11,Yes,No,.lock().unwrap();.lock().unwrap_or_else(PoisonGuard::into_inner),Yes,I want to access the data again,No,No,,None,,,,
2020/12/12 7:55:24 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want to access the data again,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance,No,,No
2020/12/12 7:57:09 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate;I never want to access the data again,Yes,No,,A manageable amount,,,I want my program to terminate;I never want to access the data again,
2020/12/12 7:58:18 AM GMT+11,Yes,No,.lock().unwrap(),No,,No,No,,None,,,,
2020/12/12 7:59:02 AM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,No,,None,To avoid having to write .lock.unwrap();For performance,No,,
2020/12/12 8:01:12 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,I want my program to terminate,No,No,,A manageable amount,For performance;For async/await,No,,No
2020/12/12 8:01:28 AM GMT+11,Yes,No,.lock().unwrap(),No,I want to access the data again;I never want to access the data again,Yes,Yes,"impl<T: SomeTrait> SomeTrait for MutexGuard<'_, T>",A manageable amount,,,,
2020/12/12 8:02:53 AM GMT+11,Yes,No,.lock().unwrap();.lock()?,No,I want my program to terminate,Yes,No,,None,For performance;For no-std,No,I want my program to terminate,Yes
2020/12/12 8:03:00 AM GMT+11,No,No,.lock()?,No,I want my program to terminate;I want to check and fix the data,Yes,No,,A manageable amount,on a case by case basis when absolutely unnecessary,No,I want my program to terminate;I want to check and fix the data,Yes
2020/12/12 8:03:51 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate,No,No,,A manageable amount,For performance;For async/await,No,I want my program to terminate,Yes
2020/12/12 8:05:12 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate,No,No,,None,,No,I want my program to terminate,Yes
2020/12/12 8:06:02 AM GMT+11,Yes,Yes,.lock().unwrap(),No,"I really don´t know, I think it is specific to the data I am handling and the context",No,No,,A manageable amount,To avoid having to write .lock.unwrap();For async/await,No,,No
2020/12/12 8:07:13 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate,,,,None,,,I want my program to terminate,
2020/12/12 8:09:46 AM GMT+11,Yes,Yes,.lock()?,No,,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance,No,,No
2020/12/12 8:11:37 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate;I never want to access the data again,Yes,No,,A manageable amount,,,,No
2020/12/12 8:12:39 AM GMT+11,Yes,Yes,.lock().unwrap(),No,,Yes,No,,A manageable amount,For no-std,No,,No
2020/12/12 8:13:42 AM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,No,,None,To avoid having to write .lock.unwrap();For performance,No,,
2020/12/12 8:13:45 AM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,No,,None,To avoid having to write .lock.unwrap();For performance,No,,
2020/12/12 8:13:57 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate;I want to check and fix the data,Yes,No,,A manageable amount,For async/await,No,,No
2020/12/12 8:14:08 AM GMT+11,No,No,,,,,,,,,,,
2020/12/12 8:14:58 AM GMT+11,Yes,Yes,.lock()?,Yes,I never want my program to terminate;I want to access the data again;I want to check and fix the data,Yes,No,,A manageable amount,For performance;For async/await,No,,Yes
2020/12/12 8:19:20 AM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance;For async/await,No,I want to access the data again,No
2020/12/12 8:19:33 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I never want my program to terminate;I want to access the data again;I want to check and fix the data,No,No,,None,,No,,Yes
2020/12/12 8:19:42 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want to check and fix the data;I never want to access the data again,Yes,No,,Too much,For async/await;For the sheer joy of messing around with it.,No,,No
2020/12/12 8:22:42 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I never want to access the data again,No,No,,None,To avoid having to write .lock.unwrap();For performance,No,,No
